gbif_id,Latine_name,taxon_id
1036779,Carabus auratus,194792
1043097,Adalia bipunctata,52506
1043717,Cryptolaemus montrouzieri,244084
1047536,Leptinotarsa decemlineata,84778
1048809,Lilioceris lilii,55761
1063891,Amphimallon solstitiale,451915
1071240,Anoplotrupes stercorosus,125655
1071266,Sericotrupes niger,523011
1077829,Cetonia aurata,52402
1310622,Polistes gallicus,154442
1311477,Vespa velutina,119019
1311527,Vespa crabro,54327
1311649,Vespula germanica,126155
1311651,Vespula austriaca,233557
1311671,Vespula vulgaris,127777
1311676,Vespula rufa,182738
1311797,Dolichovespula omissa,546385
1311798,Dolichovespula sylvestris,127743
1311805,Dolichovespula saxonica,129102
1311825,Dolichovespula adulterina,465288
1311831,Dolichovespula norwegica,416144
1311838,Dolichovespula media,363952
1312367,Camponotus ligniperdus,338086
1312773,Camponotus herculeanus,215974
1315132,Formica rufa,53853
1318848,Myrmica ruginodis,347551
1318874,Myrmica rubra,119172
1329873,Odynerus spinipes,207841
1334278,Stelis breviuscula,484583
1334493,Chelostoma rapunculi,357471
1334499,Chelostoma campanularum,357470
1334821,Anthidium manicatum,62453
1335321,Megachile ericetorum,459128
1335556,Megachile willughbiella,125786
1335648,Megachile rotundata,52783
1336116,Megachile versicolor,127809
1336802,Heriades truncorum,124221
1337092,Hoplitis adunca,523976
1338442,Coelioxys echinata,626780
1338640,Coelioxys aurolimbata,1061530
1339951,Amegilla atrocincta,424361
1340286,Bombus muscorum,325997
1340301,Bombus lapidarius,57619
1340305,Bombus pratorum,124910
1340342,Bombus sylvarum,123657
1340344,Bombus rupestris,127735
1340394,Bombus ruderarius,53524
1340405,Bombus pascuorum,55637
1340418,Bombus vestalis,127789
1340434,Bombus barbutellus,481191
1340503,Bombus terrestris,57516
1340527,Bombus campestris,127779
1340542,Bombus hortorum,121989
1341976,Apis mellifera,47219
1342108,Xylocopa violacea,124145
1346919,Isodontia mexicana,203340
1348620,Colletes daviesanus,127737
1349795,Hylaeus communis,359239
1357156,Andrena flavipes,124358
1428217,Sympetrum sanguineum,113525
1495562,Haematopota pluvialis,130395
1497483,Chrysops caecutiens,334352
1500013,Tabanus sudeticus,334326
1502577,Calliphora vicina,119115
1524843,Musca domestica,120156
1535521,Meliscaeva cinctella,342901
1535529,Meliscaeva auricollis,324637
1536289,Pipiza quadrimaculata,523389
1536449,Episyrphus balteatus,52482
1536559,Baccha elongata,125659
1536796,Neoascia podagrica,486782
1537212,Syrphus vitripennis,143426
1537245,Syrphus torvus,322366
1537266,Syrphus ribesii,52488
1537412,Rhingia campestris,355014
1537717,Scaeva selenitica,349217
1537719,Scaeva pyrastri,52160
1541217,Eristalis tenax,55719
1541740,Volucella inanis,363754
1541763,Volucella bombylans,61857
1541799,Volucella pellucens,52480
1541832,Volucella zonaria,343983
1590998,Bibio marci,56096
1670212,Bombylius major,51557
1873079,Plodia interpunctella,124184
2105360,Chrysoperla carnea,311581
4388646,Coreus marginatus,318545
4452252,Psyllobora vigintiduopunctata,51660
4459737,Chrysomela populi,416809
4470628,Carabus auronitens,325782
4485729,Graphosoma lineatum,61968
4485776,Palomena prasina,62060
4486826,Pyrrhocoris apterus,55610
4493809,Chrysura austriaca,1104831
4494295,Passaloecus eremita,497967
4516754,Myathropa florea,70211
4518735,Sarcophaga carnaria,124550
4989904,Harmonia axyridis,48484
4990191,Coccinella septempunctata,51702
4990995,Melolontha melolontha,48197
4991026,Melolontha hippocastani,48196
4994132,Geotrupes stercorarius,122190
4994160,Geotrupes mutator,528470
5035785,Lasius niger,55213
5035857,Lasius flavus,69315
5037317,Ancistrocerus melanocerus,1479300
5039039,Osmia leaiana,484588
5039096,Osmia caerulescens,199124
5039166,Osmia brevicornis,962039
5039314,Osmia rufa,876599
5040875,Melitta leporina,484581
5063973,Lucilia sericata,128824
5071172,Leucozona lucorum,464393
5156102,Leptoglossus occidentalis,67771
5742495,Panorpa communis,51699
5766554,Melanostoma mellinum,324344
5766556,Melanostoma scalare,70405
5871389,Polistes dominula,84640
5978844,Tachina fera,52591
7412043,Calopteryx splendens,51824
8703749,Dipogon bifasciatus,1637759
9198953,Harpalus rufipes,131099
9295353,Osmia florisomnis,58523
9711771,Trypoxylon figulus,127776
11195063,Drosophila melanogaster,67743
11219325,Tabanus bromius,154667
