,gbif_id,Latine_name,taxon_id,name,in_iNat
0,1036779,Carabus auratus,194792,Carabus_auratus,0
1,1043097,Adalia bipunctata,52506,Adalia_bipunctata,1
2,1043717,Cryptolaemus montrouzieri,244084,Cryptolaemus_montrouzieri,1
3,1047536,Leptinotarsa decemlineata,84778,Leptinotarsa_decemlineata,1
4,1048809,Lilioceris lilii,55761,Lilioceris_lilii,1
5,1063891,Amphimallon solstitiale,451915,Amphimallon_solstitiale,1
6,1071240,Anoplotrupes stercorosus,125655,Anoplotrupes_stercorosus,1
7,1071266,Sericotrupes niger,523011,Sericotrupes_niger,0
8,1077829,Cetonia aurata,52402,Cetonia_aurata,1
9,1310622,Polistes gallicus,154442,Polistes_gallicus,0
10,1311477,Vespa velutina,119019,Vespa_velutina,1
11,1311527,Vespa crabro,54327,Vespa_crabro,1
12,1311649,Vespula germanica,126155,Vespula_germanica,1
13,1311651,Vespula austriaca,233557,Vespula_austriaca,0
14,1311671,Vespula vulgaris,127777,Vespula_vulgaris,1
15,1311676,Vespula rufa,182738,Vespula_rufa,0
16,1311797,Dolichovespula omissa,546385,Dolichovespula_omissa,0
17,1311798,Dolichovespula sylvestris,127743,Dolichovespula_sylvestris,0
18,1311805,Dolichovespula saxonica,129102,Dolichovespula_saxonica,0
19,1311825,Dolichovespula adulterina,465288,Dolichovespula_adulterina,0
20,1311831,Dolichovespula norwegica,416144,Dolichovespula_norwegica,0
21,1311838,Dolichovespula media,363952,Dolichovespula_media,0
22,1312367,Camponotus ligniperdus,338086,Camponotus_ligniperdus,0
23,1312773,Camponotus herculeanus,215974,Camponotus_herculeanus,0
24,1315132,Formica rufa,53853,Formica_rufa,1
25,1318848,Myrmica ruginodis,347551,Myrmica_ruginodis,0
26,1318874,Myrmica rubra,119172,Myrmica_rubra,0
27,1329873,Odynerus spinipes,207841,Odynerus_spinipes,0
28,1334278,Stelis breviuscula,484583,Stelis_breviuscula,0
29,1334493,Chelostoma rapunculi,357471,Chelostoma_rapunculi,0
30,1334499,Chelostoma campanularum,357470,Chelostoma_campanularum,0
31,1334821,Anthidium manicatum,62453,Anthidium_manicatum,1
32,1335321,Megachile ericetorum,459128,Megachile_ericetorum,0
33,1335556,Megachile willughbiella,125786,Megachile_willughbiella,0
34,1335648,Megachile rotundata,52783,Megachile_rotundata,0
35,1336116,Megachile versicolor,127809,Megachile_versicolor,0
36,1336802,Heriades truncorum,124221,Heriades_truncorum,0
37,1337092,Hoplitis adunca,523976,Hoplitis_adunca,0
38,1338442,Coelioxys echinata,626780,Coelioxys_echinata,0
39,1338640,Coelioxys aurolimbata,1061530,Coelioxys_aurolimbata,0
40,1339951,Amegilla atrocincta,424361,Amegilla_atrocincta,0
41,1340286,Bombus muscorum,1600451,Bombus_muscorum,0
42,1340301,Bombus lapidarius,57619,Bombus_lapidarius,1
43,1340305,Bombus pratorum,124910,Bombus_pratorum,1
44,1340342,Bombus sylvarum,123657,Bombus_sylvarum,0
45,1340344,Bombus rupestris,127735,Bombus_rupestris,0
46,1340394,Bombus ruderarius,53524,Bombus_ruderarius,0
47,1340405,Bombus pascuorum,55637,Bombus_pascuorum,1
48,1340418,Bombus vestalis,1592220,Bombus_vestalis,0
49,1340434,Bombus barbutellus,481191,Bombus_barbutellus,0
50,1340503,Bombus terrestris,57516,Bombus_terrestris,1
51,1340527,Bombus campestris,127779,Bombus_campestris,0
52,1340542,Bombus hortorum,121989,Bombus_hortorum,0
53,1341976,Apis mellifera,47219,Apis_mellifera,1
54,1342108,Xylocopa violacea,124145,Xylocopa_violacea,1
55,1346919,Isodontia mexicana,203340,Isodontia_mexicana,1
56,1348620,Colletes daviesanus,127737,Colletes_daviesanus,0
57,1349795,Hylaeus communis,359239,Hylaeus_communis,0
58,1357156,Andrena flavipes,124358,Andrena_flavipes,0
59,1428217,Sympetrum sanguineum,113525,Sympetrum_sanguineum,1
60,1495562,Haematopota pluvialis,130395,Haematopota_pluvialis,0
61,1497483,Chrysops caecutiens,334352,Chrysops_caecutiens,0
62,1500013,Tabanus sudeticus,334326,Tabanus_sudeticus,0
63,1502577,Calliphora vicina,119115,Calliphora_vicina,1
64,1524843,Musca domestica,120156,Musca_domestica,1
65,1535521,Meliscaeva cinctella,342901,Meliscaeva_cinctella,0
66,1535529,Meliscaeva auricollis,324637,Meliscaeva_auricollis,0
67,1536289,Pipiza quadrimaculata,523389,Pipiza_quadrimaculata,0
68,1536449,Episyrphus balteatus,52482,Episyrphus_balteatus,1
69,1536559,Baccha elongata,125659,Baccha_elongata,0
70,1536796,Neoascia podagrica,486782,Neoascia_podagrica,0
71,1537212,Syrphus vitripennis,143426,Syrphus_vitripennis,0
72,1537245,Syrphus torvus,322366,Syrphus_torvus,0
73,1537266,Syrphus ribesii,52488,Syrphus_ribesii,0
74,1537412,Rhingia campestris,355014,Rhingia_campestris,0
75,1537717,Scaeva selenitica,349217,Scaeva_selenitica,0
